book_id,title,subtitle,author,synopsis,domain,themes,average_rating,language,preview_link,thumbnail,search_category,difficulty_level,source
1,Bestsellers,"The Path (bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [bestsellers]","Ivan King, bestsellers","Hear What the Critics are Saying ""Wow, what an Amazing Book for young adults; truly inspirational, very entertaining and highly thought provoking. The Path is by far one of the best Fiction books to have come out in a long time."" -Mary Jones -Valley Daily News ""The Path is a book that will really challenge the way you view the world. A Must Read."" -Judy B. Cohen – Elite Media Group ""Deliciously Entertaining and a very thought inducing book; I bought it for a friend as a gift and she loved it as well. It's by far one of the finest Fiction books to have come out in the last decade."" -Dave Baker -Book Bloggers of America ""The Path is an extremely fascinating book; it really made me think. If you're looking for a book that will not only make you emotional, but will also exercise your mind, then look no further than this book. Amazing; Five Stars All The Way."" -Debra Eisner -Literary Times Inc. ""My favorite Fiction book this year; so far we have read more than eight. Highly Recommend."" -Emma Righter -Writers United Group ""This book reminded me why I fell in love with reading in the first place; thank you Mr. King for making such an amazing and inspiring book. Keep up with the great story telling. Ten Thumbs Up."" -Lee Ratner –Daily Media Trends, Inc. Editorial Review The Path in itself is a journey. By the end of the book, you will feel like you have gone through an emotional and cerebral roller-coaster. This book will really make you think; but more than that, it will make you feel. The Path is a call to action for all generations, young and old. Not since Paulo Coelho's The Alchemist, has a book come out as thought provoking and inspiring. Mr. King does it again. Excellent Book! Jim S. Stein Book Description A little Boy gets lost on a path; along the way, he meets three versions of his future self and discovers the meaning of life. What lessons will he learn; what secrets are going to be revealed? Jump into the path and you will find out..... If you had the power to go back and change one decision in your life, what would it be? Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel."" Join me on an adventure and together we will discover the true purpose of life. (bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [bestsellers]",Young Adult Fiction,Young Adult Fiction,,en,http://books.google.com/books?id=LR_VDQAAQBAJ&printsec=frontcover&dq=fiction+bestsellers&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=LR_VDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
3,The Bestseller Code,Anatomy of the Blockbuster Novel,"Jodie Archer, Matthew L. Jockers","""What if there was an algorithm that could predict which novels become mega-bestsellers? Are books like Dan Brown's The Da Vinci Code and Gillian Flynn's Gone Girl the Gladwellian outliers of publishing? [This book] boldly claims that the New York Times bestsellers in fiction are predictable and that it's possible to know with 97% certainty if a manuscript is likely to hit number one on the list as opposed to numbers two through fifteen. The algorithm does exist; the code has been cracked; the results are in""--",Business & Economics,Business & Economics,,en,http://books.google.com/books?id=4fXUDAAAQBAJ&printsec=frontcover&dq=fiction+bestsellers&hl=&cd=3&source=gbs_api,http://books.google.com/books/content?id=4fXUDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
4,Bestseller,A Century of America's Favorite Books,Robert McParland,"Whether curled up on a sofa with a good mystery, lounging by the pool with a steamy romance, or brooding over a classic novel, Americans love to read. Despite the distractions of modern living, nothing quite satisfies many individuals more than a really good book. And regardless of how one accesses that book—through a tablet, a smart phone, or a good, old-fashioned hardcover—those choices have been tallied for decades. In Bestseller: A Century of America’s Favorite Books, Robert McParland looks at the reading tastes of a nation—from the beginning of the twentieth century to the present day. Through extensive research, McParland provides context for the literature that appealed to the masses, from low-brow potboilers like Forever Amber to Pulitzer-Prize winners such as To Kill a Mockingbird. Decade by decade, McParland discusses the books that resonated with the American public and shows how current events and popular culture shaped the reading habits of millions. Profiles of authors with frequent appearances—from Ernest Hemingway to Danielle Steel—are included, along with standout titles that readers return to year after year. A snapshot of America and its love of reading through the decades, this volume informs and entertains while also providing a handy reference of the country’s most popular books. For those wanting to learn more about the history of American culture through its reading habits, Bestseller: A Century of America’s Favorite Books is a must-read.",Literary Criticism,Literary Criticism,,en,http://books.google.com/books?id=yIVuDwAAQBAJ&pg=PA277&dq=fiction+bestsellers&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=yIVuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
5,Bestsellers: Popular Fiction since 1900,,C. Bloom,"This guide and reference work of all of the bestselling books, authors and genres since the beginning of the 20th century, provides an insight into over 100 years of publishing and reading as well as taking us on a journey into the heart of the British imagination.",Literary Criticism,Literary Criticism,,en,http://books.google.com/books?id=2JHXwAEACAAJ&dq=fiction+bestsellers&hl=&cd=5&source=gbs_api,http://books.google.com/books/content?id=2JHXwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
6,Hype,Bestsellers and Literary Culture,"Jon Helgason, Sara Kärrholm, Ann Steiner","In the world of books and literature, “hype” is associated with bestsellerism - the books that sell the most, are read by vast numbers, and constantly talked about in media and staff rooms. Often, it is the success in itself that generates an interest because popularity begets popularity. Quite often though, a hyped bestseller is met with a skeptic criticism of poor language, a badly constructed plot, a predictable story line, or all three. The bestseller phenomenon is sometimes conceived as a threat against “real” literature. Research into the creation, reception, and meaning of bestsellers is utterly scarce and Hype: Bestsellers and Literary Culture is an important contribution to the understanding of the literature read by the masses. Popular literature plays an important role in the lives of millions of readers, offering entertainment, social commentary, and alternate perspectives on everyday life. This volume brings together such diverse issues as the creation of hype, the role and the meaning of the author in the present-day media landscape, changes in the book trade, and the relationship between bestsellers and research into them. Further articles give an historical overview on postapocalyptic stories, desert romances and the role of the authors. This book offers new knowledge on a subject that is increasingly popular within university curricula. Although the anthology is a work of academic research the texts are of equal interest to general readers.",Literary Criticism,Literary Criticism,,en,http://books.google.com/books?id=m4yBEAAAQBAJ&printsec=frontcover&dq=fiction+bestsellers&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=m4yBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
7,Mary Higgins Clark,Three New York Times Bestselling Novels,Mary Higgins Clark,"Three New York Times Bestselling Novels The master of suspense returns with three of her newest—and best—novels:While My Pretty One Sleeps; Loves Music, Loves to Dance, and All Around the Town. All three of these powerful thrillers have topped New York Times bestseller lists.",Fiction,Fiction,,en,http://books.google.com/books?id=HCoPSUZSxicC&dq=fiction+bestsellers&hl=&cd=8&source=gbs_api,http://books.google.com/books/content?id=HCoPSUZSxicC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
8,Bestsellers,Popular Fiction of the 1970s,John Sutherland,"First published in 1981, this book offers a study of British and American popular fiction in the 1970s, a decade in which the quest for the superseller came to dominate the lives of publishers on both sides of the Atlantic. Illustrated by examples of the lurid incidents that catapult so many books into the bestseller charts, this comprehensive study covers the work of Robbins, Hailey and Maclean, the 'bodice rippers', the disaster craze, horror, war stories and media tie-ins such as The Godfather, Jaws and Star Wars.",Literary Criticism,Literary Criticism,,en,http://books.google.com/books?id=IkU4cAAACAAJ&dq=fiction+bestsellers&hl=&cd=9&source=gbs_api,http://books.google.com/books/content?id=IkU4cAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
9,A Richard Wright Bibliography,"Fifty Years of Criticism and Commentary, 1933-1982","Kenneth Kinnamon, Joseph Benson, Michel Fabre, Craig Werner","Any future biographical work on Richard Wright will find this bibliography a necessity; academic or public libraries supporting a program of black culture will find it invaluable; and it belongs in any library supporting American literature studies. Richard Wright has truly been well served. Choice The most comprehensive bibliography ever compiled for an American writer, this book contains 13,117 annotated items pertaining to Richard Wright. It includes almost all published mentions of the author or his work in every language in which those mentions appear. Sources listed include books, articles, reviews, notes, news items, publishers' catalogs, promotional materials, book jackets, dissertations and theses, encyclopedias, biographical dictionaries, handbooks and study guides, library reports, best seller charts, the Index Translationum, playbills and advertisements, editorials, radio transcripts, and published letters and interviews. The bibliography is arranged chronologically by year. Each entry includes bibliographical information, an annotation by the authors, and information about all reprintings, partial or full. The index is unusually complete and contains the titles of Wright's works, real and fictional characters in the works, entries relating to significant places and events in the author's life, important literary terminology, and much additional information.",Social Science,Social Science,,en,http://books.google.com/books?id=zbTOEAAAQBAJ&pg=PA35&dq=fiction+bestsellers&hl=&cd=12&source=gbs_api,http://books.google.com/books/content?id=zbTOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
10,Readers' Guide to Periodical Literature,,Anna Lorraine Guthrie,An author subject index to selected general interest periodicals of reference value in libraries.,Periodicals,Periodicals,4.0,en,http://books.google.com/books?id=H7AKAAAAYAAJ&pg=PA244&dq=fiction+bestsellers&hl=&cd=14&source=gbs_api,http://books.google.com/books/content?id=H7AKAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
11,Publish. Profit. Independence. - How to Earn Extra Income and Financial Freedom by Publishing on Your Own,,Dr. Robert C. Worstell,"Find independence and financial freedom from one of the simplest home businesses you can start from scratch - or less... Learn Tips and Tricks to make self-publishing pay well. I fell into this by accident. There I was writing away, only to find that I made more money publishing other people's stuff than I did with my own. This journey led me into working out the details and shortcuts which made it all simple. Meanwhile, I started making enough income to cover all my bills. Surprise, surprise. You get the benefits in this: * How publishing books help you earn recurring income from work you do just once. * Simple ways to have the freedom you never get from working for someone else. * Find peace of mind by becoming your own boss. * Discover the joy of only working with bestselling authors - who are now working for you. * Literally make money while you sleep from countries you've never visited - by people you've never met before. Get Your Copy Now.",Business & Economics,Business & Economics,,en,http://books.google.com/books?id=t1npBgAAQBAJ&pg=PA18&dq=fiction+bestsellers&hl=&cd=41&source=gbs_api,http://books.google.com/books/content?id=t1npBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
12,Motivational Books,"Purpose of a Christian Life (motivational books, motivational books free, motivational books for women, motivational books for men) [motivational books]","Ivan King, motivational books","Book Description Did you know that God has an amazing plan for your Life? Welcome to Purpose of a Christian Life, a book that, at its core, answers some of our most fundamental questions, and reveals the mystery of God's glorious plan for our lives. Have you ever stopped to wonder what God has in store for you? Do you feel like something is missing in your life? Don't worry, you are not alone. We all have a deep void within us that can only be filled by God. Consequently, this innate need guides us to discover his undying love, mercy and purpose for our lives. Join me as we journey together to find that purpose. One thing is certain, after reading this book, not only will you have a clear vision of God's magnificent plan for your life, but you will attain a greater understating of his message. After all,God's love is transcendent, unshakable and everlasting. Hear What the Critics are Saying ""Very Inspirational and Powerful; everyone should read this book. Purpose of a Christian Life is by far one of the best Christian books to have come out in the last decade."" -Mary Jones -Valley Daily News ""I give this book Five Stars All The Way! This book makes my list as one of the top reads in the Christian genre. Anyone of Faith will enjoy this book very much."" -Theresa Davis –Alliance Media Group ""Purpose of a Christian Life was a very powerful and thought provoking book. Every generation, young and old, should have to read this book. Ten Thumbs Up."" -Dave Baker -Book Bloggers of America ""This was an excellent book even though it was short, I ended up reading it in less than a day; however, it has a very strong and positive message. A Must Read."" -Lisa Cooper -Literary Times Inc. ""Purpose of a Christian Life was a very interesting and unique book. It had a very solid message about love and forgiveness. Highly Recommend."" -Emma Righter -Writers United Group ""Amazing Book! I fell to my knees at the end and cried. This book reminded me why I became a born-again Christian. Its messages are not only powerful, but also true."" -Carl Mosner –Readers Cove Unlimited ""A friend from work recommended this book to me and although I am not a Christian, I was still moved by its Powerful Message."" -Lee Ratner –Daily Media Trends, Inc. ""What a Magnificent Book. From the moment I started reading it I just couldn't put it down. Every man, woman and child should read Purpose of a Christian Life. Truly inspiring."" -Jordy Crabel -The Kendal Group ""Wonderful Book! I actually bought it for my son-in-law and ended up reading it as well. It offered me a fresh perspective on my Christian journey."" -Morty Ruslan–Crest Haven Baptist ""I read this book as part of a Bible study group; I am glad we found this spiritual gold nugget, it has changed my life. Eye Opening."" -Laura Thomas –Blogging for Jesus, Inc. Message From the Author If you could have a private conversation with Jesus Christ and ask him anything you wanted, what would ask him? What am I doing here? What does God want from me? We stumble along, fumbling for answers to some of the most difficult questions in this ambiguity of the human condition that we refer to as life, and fail to realize that everything happens for a reason. God has a plan for you; he has a plan me. There's a plan for all of us. ""I am a radical follower of Christ, with whom I have a deep and intimate connection. In him I will store all of my faith for the remainder of my days."" Ivan King Author's Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel."" (motivational books, motivational books free, motivational books for women, motivational books for men) [motivational books]",Self-Help,Self-Help,,en,http://books.google.com/books?id=YNLmDQAAQBAJ&pg=PT97&dq=fiction+bestsellers&hl=&cd=43&source=gbs_api,http://books.google.com/books/content?id=YNLmDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
13,8 Great Habits of Extremely Effective Christians,,Ivan King,"Hear What the Critics are Saying ""Wow, very inspirational and powerful; everyone must read this book. 8 Great Habits of Extremely Effective Christians is by far one of the best Christian books to have come out in the last decade. A Must Read."" -Mary Jones -Valley Daily News ""I give this book Five Stars All The Way! This book makes my list as one of the top reads in the Christian genre. Any one of Faith will enjoy this book very much."" -Theresa Davis –Elite Media Group ""8 Great Habits of Extremely Effective Christians is a very powerful and thought provoking book. Every generation, young and old, should have to read this book. Ten Thumbs Up!"" -Dave Baker -Book Bloggers of America ""This was an excellent book; it was short, I ended up reading it in less than four hours. However, it has a very strong and positive message. Amazing Book!"" -Lisa Cooper -Literary Times Inc. ""This was a very powerful book; very solid message about the dangers of not giving your life to Christ. I Highly Recommend."" -Emma Righter -Writers United Group ""I fell to my knees at the end and cried. This book reminded me why I became a born-again Christian. Powerful Message."" -Carl Mosner –Readers Cove Unlimited Editorial Review 8 Great Habits of Extremely Effective Christians is a very spiritual and powerful book. Its messages are time tested and true. This book really made me think; but more importantly, it made me feel. If you are looking for a book that will move you to tears, then look no further than 8 Great Habits of Extremely Effective Christians, a masterful book that will not only inspire you to become a better person, but will also teach you some of life's greatest lessons. Inspirational Book! David T. Williams Book Description Did you know that there are certain habits which, when applied to your daily life, will completely change your current situation? God, in his infinite wisdom, has made all things possible for you and me, but it is up to us to put faith in the Lord and let him be the driver of our lives. Based on Real Life Experiences. Author's Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel.""",Self-Help,Self-Help,,en,http://books.google.com/books?id=0v3PDQAAQBAJ&pg=PT75&dq=fiction+bestsellers&hl=&cd=44&source=gbs_api,http://books.google.com/books/content?id=0v3PDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
14,Purpose of a Christian Life,,Ivan King,"Book Description Did you know that God has an amazing plan for your Life? Welcome to Purpose of a Christian Life, a book that, at its core, answers some of our most fundamental questions, and reveals the mystery of God's glorious plan for our lives. Have you ever stopped to wonder what God has in store for you? Do you feel like something is missing in your life? Don't worry, you are not alone. We all have a deep void within us that can only be filled by God. Consequently, this innate need guides us to discover his undying love, mercy and purpose for our lives. Join me as we journey together to find that purpose. One thing is certain, after reading this book, not only will you have a clear vision of God's magnificent plan for your life, but you will attain a greater understating of his message. After all,God's love is transcendent, unshakable and everlasting. Hear What the Critics are Saying ""Very Inspirational and Powerful; everyone should read this book. Purpose of a Christian Life is by far one of the best Christian books to have come out in the last decade."" -Mary Jones -Valley Daily News ""I give this book Five Stars All The Way! This book makes my list as one of the top reads in the Christian genre. Anyone of Faith will enjoy this book very much."" -Theresa Davis –Alliance Media Group ""Purpose of a Christian Life was a very powerful and thought provoking book. Every generation, young and old, should have to read this book. Ten Thumbs Up."" -Dave Baker -Book Bloggers of America ""This was an excellent book even though it was short, I ended up reading it in less than a day; however, it has a very strong and positive message. A Must Read."" -Lisa Cooper -Literary Times Inc. ""Purpose of a Christian Life was a very interesting and unique book. It had a very solid message about love and forgiveness. Highly Recommend."" -Emma Righter -Writers United Group ""Amazing Book! I fell to my knees at the end and cried. This book reminded me why I became a born-again Christian. Its messages are not only powerful, but also true."" -Carl Mosner –Readers Cove Unlimited ""A friend from work recommended this book to me and although I am not a Christian, I was still moved by its Powerful Message."" -Lee Ratner –Daily Media Trends, Inc. ""What a Magnificent Book. From the moment I started reading it I just couldn't put it down. Every man, woman and child should read Purpose of a Christian Life. Truly inspiring."" -Jordy Crabel -The Kendal Group ""Wonderful Book! I actually bought it for my son-in-law and ended up reading it as well. It offered me a fresh perspective on my Christian journey."" -Morty Ruslan–Crest Haven Baptist ""I read this book as part of a Bible study group; I am glad we found this spiritual gold nugget, it has changed my life. Eye Opening."" -Laura Thomas –Blogging for Jesus, Inc. Message From the Author If you could have a private conversation with Jesus Christ and ask him anything you wanted, what would ask him? What am I doing here? What does God want from me? We stumble along, fumbling for answers to some of the most difficult questions in this ambiguity of the human condition that we refer to as life, and fail to realize that everything happens for a reason. God has a plan for you; he has a plan me. There's a plan for all of us. ""I am a radical follower of Christ, with whom I have a deep and intimate connection. In him I will store all of my faith for the remainder of my days."" Ivan King Author's Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel.""",Religion,Religion,,en,http://books.google.com/books?id=iP3PDQAAQBAJ&pg=PT97&dq=fiction+bestsellers&hl=&cd=45&source=gbs_api,http://books.google.com/books/content?id=iP3PDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fiction bestsellers,,Kaggle-GoogleBooks
